available_position_id,rest_id,available_position_pay
1,1,$15.00/hr
2,6,"Salary, 54k"
1,6,$16.00/hr
2,7,"Salary, 60k"
4,7,"Salary, 45k"
5,8,$14.00/hr
8,9,"Salary, 50k"
5,10,$14.00/hr
8,16,$18.00/hr
1,17,$15.00/hr
8,18,$21.00/hr
1,19,$16.00/hr
5,20,$9.00/hr
4,16,$19.00/hr
1,11,$19.00/hr
5,12,$16.00/hr
6,13,$19.00/hr
5,14,$16.00/hr
1,15,$23.00/hr
6,5,$12.50/hr
7,2,$15.00/hr
1,3,$15.00/hr
8,2,$15.00/hr
2,5,"Salary, 60k"
8,2,15.00/hr
5,4,$16.00/hr
7,14,$13.50/hr
5,9,$15.00/hr
1,9,$15.00/hr
1,8,$16.00/hr
4,21,"Salary, 45k"